industry,year,month,employment_thousands
Professional and Business Services,2018,09,21145
Professional and Business Services,2018,10,21171
Professional and Business Services,2018,11,21176
Professional and Business Services,2018,12,21196
Professional and Business Services,2019,01,21201
Professional and Business Services,2019,02,21230
Professional and Business Services,2019,03,21258
Professional and Business Services,2019,04,21315
Professional and Business Services,2019,05,21356
Professional and Business Services,2019,06,21402
Professional and Business Services,2019,07,21421
Professional and Business Services,2019,08,21455
Professional and Business Services,2019,09,21465
Professional and Business Services,2019,10,21476
Professional and Business Services,2019,11,21487
Professional and Business Services,2019,12,21467
Professional and Business Services,2020,01,21476
Professional and Business Services,2020,02,21483
Professional and Business Services,2020,03,21388
Professional and Business Services,2020,04,19223
Professional and Business Services,2020,05,19410
Professional and Business Services,2020,06,19768
Professional and Business Services,2020,07,19953
Professional and Business Services,2020,08,20147
Professional and Business Services,2020,09,20267
Professional and Business Services,2020,10,20455
Professional and Business Services,2020,11,20602
Professional and Business Services,2020,12,20770
Professional and Business Services,2021,01,20922
Professional and Business Services,2021,02,20999
Professional and Business Services,2021,03,21109
Professional and Business Services,2021,04,21103
Professional and Business Services,2021,05,21176
Professional and Business Services,2021,06,21257
Professional and Business Services,2021,07,21418
Professional and Business Services,2021,08,21535
Professional and Business Services,2021,09,21636
Professional and Business Services,2021,10,21873
Professional and Business Services,2021,11,22019
Professional and Business Services,2021,12,22129
Professional and Business Services,2022,01,22183
Professional and Business Services,2022,02,22372
Professional and Business Services,2022,03,22483
Professional and Business Services,2022,04,22468
Professional and Business Services,2022,05,22503
Professional and Business Services,2022,06,22564
Professional and Business Services,2022,07,22658
Professional and Business Services,2022,08,22697
Professional and Business Services,2022,09,22744
Professional and Business Services,2022,10,22783
Professional and Business Services,2022,11,22792
Professional and Business Services,2022,12,22774
Professional and Business Services,2023,01,22791
Professional and Business Services,2023,02,22837
Professional and Business Services,2023,03,22832
Professional and Business Services,2023,04,22837
Professional and Business Services,2023,05,22850
Professional and Business Services,2023,06,22826
Professional and Business Services,2023,07,22779
Professional and Business Services,2023,08,22768
Professional and Business Services,2023,09,22743
Professional and Business Services,2023,10,22715
Professional and Business Services,2023,11,22661
Professional and Business Services,2023,12,22643
Professional and Business Services,2024,01,22668
Professional and Business Services,2024,02,22658
Professional and Business Services,2024,03,22631
Professional and Business Services,2024,04,22616
Professional and Business Services,2024,05,22633
Professional and Business Services,2024,06,22606
Professional and Business Services,2024,07,22584
Professional and Business Services,2024,08,22544
Professional and Business Services,2024,09,22525
Professional and Business Services,2024,10,22486
Professional and Business Services,2024,11,22499
Professional and Business Services,2024,12,22532
Professional and Business Services,2025,01,22480
Professional and Business Services,2025,02,22473
Professional and Business Services,2025,03,22457
Professional and Business Services,2025,04,22470
Professional and Business Services,2025,05,22450
Professional and Business Services,2025,06,22419
Professional and Business Services,2025,07,22403
Professional and Business Services,2025,08,22375
Professional and Business Services,2025,09,22359
Professional and Business Services,2025,10,22335
Professional and Business Services,2025,11,22391
Professional and Business Services,2025,12,22372
Total Nonfarm,2016,01,143210
Total Nonfarm,2016,02,143406
Total Nonfarm,2016,03,143662
Total Nonfarm,2016,04,143854
Total Nonfarm,2016,05,143900
Total Nonfarm,2016,06,144147
Total Nonfarm,2016,07,144520
Total Nonfarm,2016,08,144661
Total Nonfarm,2016,09,144967
Total Nonfarm,2016,10,145065
Total Nonfarm,2016,11,145183
Total Nonfarm,2016,12,145408
Total Nonfarm,2017,01,145628
Total Nonfarm,2017,02,145846
Total Nonfarm,2017,03,145970
Total Nonfarm,2017,04,146175
Total Nonfarm,2017,05,146380
Total Nonfarm,2017,06,146583
Total Nonfarm,2017,07,146772
Total Nonfarm,2017,08,146919
Total Nonfarm,2017,09,147008
Total Nonfarm,2017,10,147149
Total Nonfarm,2017,11,147372
Total Nonfarm,2017,12,147523
Total Nonfarm,2018,01,147660
Total Nonfarm,2018,02,148054
Total Nonfarm,2018,03,148280
Total Nonfarm,2018,04,148420
Total Nonfarm,2018,05,148742
Total Nonfarm,2018,06,148960
Total Nonfarm,2018,07,149020
Total Nonfarm,2018,08,149277
Total Nonfarm,2018,09,149358
Total Nonfarm,2018,10,149527
Total Nonfarm,2018,11,149617
Total Nonfarm,2018,12,149809
Total Nonfarm,2019,01,150060
Total Nonfarm,2019,02,150067
Total Nonfarm,2019,03,150295
Total Nonfarm,2019,04,150591
Total Nonfarm,2019,05,150618
Total Nonfarm,2019,06,150838
Total Nonfarm,2019,07,150937
Total Nonfarm,2019,08,151169
Total Nonfarm,2019,09,151365
Total Nonfarm,2019,10,151460
Total Nonfarm,2019,11,151667
Total Nonfarm,2019,12,151794
Total Nonfarm,2020,01,152031
Total Nonfarm,2020,02,152293
Total Nonfarm,2020,03,150895
Total Nonfarm,2020,04,130426
Total Nonfarm,2020,05,133040
Total Nonfarm,2020,06,137671
Total Nonfarm,2020,07,139255
Total Nonfarm,2020,08,140821
Total Nonfarm,2020,09,141770
Total Nonfarm,2020,10,142460
Total Nonfarm,2020,11,142733
Total Nonfarm,2020,12,142548
Total Nonfarm,2021,01,142863
Total Nonfarm,2021,02,143380
Total Nonfarm,2021,03,144232
Total Nonfarm,2021,04,144587
Total Nonfarm,2021,05,145065
Total Nonfarm,2021,06,145820
Total Nonfarm,2021,07,146762
Total Nonfarm,2021,08,147314
Total Nonfarm,2021,09,147771
Total Nonfarm,2021,10,148572
Total Nonfarm,2021,11,149230
Total Nonfarm,2021,12,149816
Total Nonfarm,2022,01,150006
Total Nonfarm,2022,02,150825
Total Nonfarm,2022,03,151315
Total Nonfarm,2022,04,151623
Total Nonfarm,2022,05,151924
Total Nonfarm,2022,06,152358
Total Nonfarm,2022,07,153072
Total Nonfarm,2022,08,153362
Total Nonfarm,2022,09,153582
Total Nonfarm,2022,10,153939
Total Nonfarm,2022,11,154242
Total Nonfarm,2022,12,154342
Total Nonfarm,2023,01,154776
Total Nonfarm,2023,02,155066
Total Nonfarm,2023,03,155134
Total Nonfarm,2023,04,155375
Total Nonfarm,2023,05,155655
Total Nonfarm,2023,06,155880
Total Nonfarm,2023,07,156043
Total Nonfarm,2023,08,156261
Total Nonfarm,2023,09,156417
Total Nonfarm,2023,10,156576
Total Nonfarm,2023,11,156703
Total Nonfarm,2023,12,156857
Total Nonfarm,2024,01,157032
Total Nonfarm,2024,02,157238
Total Nonfarm,2024,03,157466
Total Nonfarm,2024,04,157530
Total Nonfarm,2024,05,157608
Total Nonfarm,2024,06,157695
Total Nonfarm,2024,07,157748
Total Nonfarm,2024,08,157757
Total Nonfarm,2024,09,157912
Total Nonfarm,2024,10,157945
Total Nonfarm,2024,11,158079
Total Nonfarm,2024,12,158316
Total Nonfarm,2025,01,158268
Total Nonfarm,2025,02,158310
Total Nonfarm,2025,03,158377
Total Nonfarm,2025,04,158485
Total Nonfarm,2025,05,158498
Total Nonfarm,2025,06,158478
Total Nonfarm,2025,07,158542
Total Nonfarm,2025,08,158472
Total Nonfarm,2025,09,158548
Total Nonfarm,2025,10,158408
Total Nonfarm,2025,11,158449
Total Nonfarm,2025,12,158432
"Trade, Transportation, and Utilities",2016,01,26915
"Trade, Transportation, and Utilities",2016,02,26978
"Trade, Transportation, and Utilities",2016,03,27054
"Trade, Transportation, and Utilities",2016,04,27072
"Trade, Transportation, and Utilities",2016,05,27089
"Trade, Transportation, and Utilities",2016,06,27107
"Trade, Transportation, and Utilities",2016,07,27153
"Trade, Transportation, and Utilities",2016,08,27199
"Trade, Transportation, and Utilities",2016,09,27211
"Trade, Transportation, and Utilities",2016,10,27235
"Trade, Transportation, and Utilities",2016,11,27209
"Trade, Transportation, and Utilities",2016,12,27270
"Trade, Transportation, and Utilities",2017,01,27314
"Trade, Transportation, and Utilities",2017,02,27311
"Trade, Transportation, and Utilities",2017,03,27298
"Trade, Transportation, and Utilities",2017,04,27301
"Trade, Transportation, and Utilities",2017,05,27307
"Trade, Transportation, and Utilities",2017,06,27321
"Trade, Transportation, and Utilities",2017,07,27325
"Trade, Transportation, and Utilities",2017,08,27333
"Trade, Transportation, and Utilities",2017,09,27355
"Trade, Transportation, and Utilities",2017,10,27374
"Trade, Transportation, and Utilities",2017,11,27416
"Trade, Transportation, and Utilities",2017,12,27404
"Trade, Transportation, and Utilities",2018,01,27370
"Trade, Transportation, and Utilities",2018,02,27447
"Trade, Transportation, and Utilities",2018,03,27519
"Trade, Transportation, and Utilities",2018,04,27517
"Trade, Transportation, and Utilities",2018,05,27565
"Trade, Transportation, and Utilities",2018,06,27542
"Trade, Transportation, and Utilities",2018,07,27545
"Trade, Transportation, and Utilities",2018,08,27602
"Trade, Transportation, and Utilities",2018,09,27577
"Trade, Transportation, and Utilities",2018,10,27569
"Trade, Transportation, and Utilities",2018,11,27638
"Trade, Transportation, and Utilities",2018,12,27580
"Trade, Transportation, and Utilities",2019,01,27633
"Trade, Transportation, and Utilities",2019,02,27591
"Trade, Transportation, and Utilities",2019,03,27592
"Trade, Transportation, and Utilities",2019,04,27626
"Trade, Transportation, and Utilities",2019,05,27632
"Trade, Transportation, and Utilities",2019,06,27645
"Trade, Transportation, and Utilities",2019,07,27661
"Trade, Transportation, and Utilities",2019,08,27652
"Trade, Transportation, and Utilities",2019,09,27676
"Trade, Transportation, and Utilities",2019,10,27688
"Trade, Transportation, and Utilities",2019,11,27687
"Trade, Transportation, and Utilities",2019,12,27758
"Trade, Transportation, and Utilities",2020,01,27775
"Trade, Transportation, and Utilities",2020,02,27738
"Trade, Transportation, and Utilities",2020,03,27659
"Trade, Transportation, and Utilities",2020,04,24564
"Trade, Transportation, and Utilities",2020,05,24975
"Trade, Transportation, and Utilities",2020,06,25963
"Trade, Transportation, and Utilities",2020,07,26231
"Trade, Transportation, and Utilities",2020,08,26613
"Trade, Transportation, and Utilities",2020,09,26746
"Trade, Transportation, and Utilities",2020,10,26947
"Trade, Transportation, and Utilities",2020,11,27112
"Trade, Transportation, and Utilities",2020,12,27158
"Trade, Transportation, and Utilities",2021,01,27201
"Trade, Transportation, and Utilities",2021,02,27277
"Trade, Transportation, and Utilities",2021,03,27423
"Trade, Transportation, and Utilities",2021,04,27387
"Trade, Transportation, and Utilities",2021,05,27431
"Trade, Transportation, and Utilities",2021,06,27571
"Trade, Transportation, and Utilities",2021,07,27652
"Trade, Transportation, and Utilities",2021,08,27703
"Trade, Transportation, and Utilities",2021,09,27832
"Trade, Transportation, and Utilities",2021,10,27988
"Trade, Transportation, and Utilities",2021,11,28151
"Trade, Transportation, and Utilities",2021,12,28262
"Trade, Transportation, and Utilities",2022,01,28318
"Trade, Transportation, and Utilities",2022,02,28528
"Trade, Transportation, and Utilities",2022,03,28593
"Trade, Transportation, and Utilities",2022,04,28595
"Trade, Transportation, and Utilities",2022,05,28572
"Trade, Transportation, and Utilities",2022,06,28646
"Trade, Transportation, and Utilities",2022,07,28702
"Trade, Transportation, and Utilities",2022,08,28748
"Trade, Transportation, and Utilities",2022,09,28720
"Trade, Transportation, and Utilities",2022,10,28761
"Trade, Transportation, and Utilities",2022,11,28763
"Trade, Transportation, and Utilities",2022,12,28769
"Trade, Transportation, and Utilities",2023,01,28807
"Trade, Transportation, and Utilities",2023,02,28845
"Trade, Transportation, and Utilities",2023,03,28803
"Trade, Transportation, and Utilities",2023,04,28799
"Trade, Transportation, and Utilities",2023,05,28830
"Trade, Transportation, and Utilities",2023,06,28799
"Trade, Transportation, and Utilities",2023,07,28816
"Trade, Transportation, and Utilities",2023,08,28799
"Trade, Transportation, and Utilities",2023,09,28832
"Trade, Transportation, and Utilities",2023,10,28865
"Trade, Transportation, and Utilities",2023,11,28837
"Trade, Transportation, and Utilities",2023,12,28829
"Trade, Transportation, and Utilities",2024,01,28799
"Trade, Transportation, and Utilities",2024,02,28839
"Trade, Transportation, and Utilities",2024,03,28855
"Trade, Transportation, and Utilities",2024,04,28880
"Trade, Transportation, and Utilities",2024,05,28880
"Trade, Transportation, and Utilities",2024,06,28851
"Trade, Transportation, and Utilities",2024,07,28830
"Trade, Transportation, and Utilities",2024,08,28802
"Trade, Transportation, and Utilities",2024,09,28813
"Trade, Transportation, and Utilities",2024,10,28794
"Trade, Transportation, and Utilities",2024,11,28755
"Trade, Transportation, and Utilities",2024,12,28811
"Trade, Transportation, and Utilities",2025,01,28795
"Trade, Transportation, and Utilities",2025,02,28806
"Trade, Transportation, and Utilities",2025,03,28792
"Trade, Transportation, and Utilities",2025,04,28783
"Trade, Transportation, and Utilities",2025,05,28765
"Trade, Transportation, and Utilities",2025,06,28741
"Trade, Transportation, and Utilities",2025,07,28744
"Trade, Transportation, and Utilities",2025,08,28743
"Trade, Transportation, and Utilities",2025,09,28725
"Trade, Transportation, and Utilities",2025,10,28714
"Trade, Transportation, and Utilities",2025,11,28649
"Trade, Transportation, and Utilities",2025,12,28616
